EmpID,PerfScoreID,PerformanceScore,EngagementSurvey,EmpSatisfaction,SpecialProjectsCount,LastPerformanceReview_Date,DaysLateLast30,Absences
10026,4,Exceeds,4.6,5,0,1/17/2019,0,1
10084,3,Fully Meets,4.96,3,6,2/24/2016,0,17
10196,3,Fully Meets,3.02,3,0,5/15/2012,0,3
10088,3,Fully Meets,4.84,5,0,1/3/2019,0,15
10069,3,Fully Meets,5.0,4,0,2/1/2016,0,2
10002,4,Exceeds,5.0,5,0,1/7/2019,0,15
10194,3,Fully Meets,3.04,3,4,1/2/2019,0,19
10062,3,Fully Meets,5.0,4,0,2/25/2019,0,19
10114,3,Fully Meets,4.46,3,0,1/25/2019,0,4
10250,3,Fully Meets,5.0,5,6,2/18/2019,0,16
10252,3,Fully Meets,4.2,4,0,1/30/2016,0,12
10242,3,Fully Meets,4.2,3,0,5/6/2016,0,15
10012,4,Exceeds,4.28,4,5,2/25/2019,0,9
10265,3,Fully Meets,4.6,4,0,2/14/2019,0,7
10066,3,Fully Meets,5.0,5,0,3/2/2017,0,1
10061,3,Fully Meets,5.0,4,0,4/5/2017,0,20
10023,4,Exceeds,4.4,3,0,1/14/2019,0,16
10055,3,Fully Meets,5.0,5,0,1/14/2019,0,12
10245,3,Fully Meets,4.5,4,5,1/15/2015,0,8
10277,3,Fully Meets,4.2,4,0,1/11/2019,0,13
10046,3,Fully Meets,5.0,3,0,1/14/2019,0,13
10226,3,Fully Meets,4.2,3,0,1/10/2019,0,2
10003,4,Exceeds,5.0,3,0,2/27/2019,0,19
10294,2,Needs Improvement,2.0,3,0,2/27/2019,2,3
10267,3,Fully Meets,4.8,5,0,3/4/2014,0,5
10199,3,Fully Meets,3.5,5,7,1/10/2016,0,2
10081,3,Fully Meets,5.0,4,3,2/18/2019,0,4
10175,3,Fully Meets,3.39,3,0,2/20/2014,0,14
10177,3,Fully Meets,3.35,4,0,3/4/2013,0,6
10238,3,Fully Meets,4.5,2,6,1/15/2019,0,14
10184,3,Fully Meets,3.19,3,0,2/1/2019,0,9
10203,3,Fully Meets,3.5,5,0,1/21/2019,0,17
10188,3,Fully Meets,3.14,5,0,2/10/2013,1,19
10107,3,Fully Meets,4.51,4,0,2/21/2019,0,3
10181,3,Fully Meets,3.25,5,0,1/14/2019,0,15
10150,3,Fully Meets,3.84,3,5,1/21/2019,0,4
10001,4,Exceeds,5.0,3,0,2/22/2019,0,14
10085,3,Fully Meets,4.96,4,6,1/30/2019,0,3
10115,3,Fully Meets,4.43,3,0,2/1/2019,0,14
10082,3,Fully Meets,5.0,5,6,2/18/2019,0,7
10040,3,Fully Meets,5.0,5,0,1/21/2019,0,7
10067,3,Fully Meets,5.0,4,0,2/12/2019,0,11
10108,3,Fully Meets,4.5,5,7,1/15/2019,0,8
10210,3,Fully Meets,3.3,4,0,2/19/2019,0,11
10154,3,Fully Meets,3.8,5,0,1/14/2019,0,4
10200,3,Fully Meets,3.0,5,0,1/19/2019,0,17
10240,3,Fully Meets,4.3,4,0,3/10/2015,0,3
10168,3,Fully Meets,3.58,5,0,1/30/2019,0,3
10220,3,Fully Meets,4.7,3,6,2/27/2019,0,2
10275,3,Fully Meets,4.2,5,0,5/3/2012,0,9
10269,3,Fully Meets,4.2,4,0,5/4/2011,0,6
10029,4,Exceeds,4.1,4,0,2/28/2019,0,5
10261,3,Fully Meets,4.4,5,0,1/14/2019,0,3
10292,2,Needs Improvement,2.0,3,0,5/1/2016,5,16
10282,2,Needs Improvement,4.13,2,0,1/14/2019,3,3
10019,4,Exceeds,3.7,5,0,2/4/2019,0,15
10094,3,Fully Meets,4.73,5,0,2/14/2019,0,6
10193,3,Fully Meets,3.04,3,6,1/22/2019,0,2
10132,3,Fully Meets,4.12,5,0,1/28/2019,0,15
10083,3,Fully Meets,5.0,3,4,1/2/2019,0,5
10099,3,Fully Meets,4.62,4,0,1/24/2019,0,8
